Monat,Brand,Influencer,Zuständigkeit,Channel,Content,Status,Story_Public_Date,Reminder_oder__Teaser?,Wann?,Preis,Est._Views,CPM,Link_Klicks,Real_Views,Umsatz,ROAS,Beworbenes__Produkt
November,Bauhaus,quintyna,LS,ig,story,done,2024-11-07,nichts,,320.0,10000.0,32.0,,,,,
November,Bauhaus,mariannastyletrends,LS,ig,story,done,2024-11-07,nichts,,180.0,5000.0,36.0,,,,,
November,Störtebekker,happy_brackmann,LS,ig,story inkl. rem.,done,2024-11-10,reminder,2024-11-17,700.0,20000.0,35.0,,7000.0,,,
November,Störtebekker,papi.of.two,LS,ig,story inkl. rem.,done,2024-11-14,reminder,2024-11-22,300.0,10000.0,30.0,,,,,
November,Zahnheld,plotterkrams,LS,ig,story inkl. rem.,done,2024-11-19,reminder,2024-11-21,680.0,20000.0,34.0,,,,,
November,Zahnheld,tina_mom_91,LS,ig,story,done,2024-11-27,nichts,,250.0,9000.0,28.0,,,,,
November,heideman,mariannastyletrends,LS,ig,story inkl. rem.,done,2024-11-27,reminder,2024-11-28,180.0,5000.0,36.0,,,,,
November,heideman,blondbynana,LS,ig,story inkl. rem.,done,2024-11-26,reminder,2024-11-28,700.0,30000.0,23.0,,,,,
November,Bauhaus,kathiwohnt,LS,ig,story,done,2024-11-29,nichts,,200.0,5000.0,40.0,,,,,
November,Bauhaus,flightgirl.sarah,LS,ig,story,done,2024-11-29,nichts,,150.0,3000.0,50.0,,,,,
November,Bauhaus,yasemin.bdx,LS,ig,story + teaser,done,2024-11-29,teaser,2024-11-27,480.0,13000.0,37.0,,,,,
November,Bauhaus,stephis.familienleben,LS,ig,story,done,2024-11-29,nichts,,270.0,10000.0,27.0,,,,,
November,Bauhaus,zoelwe,LS,ig,story + teaser,done,2024-11-29,teaser,,150.0,3000.0,50.0,120.0,,,,
November,Bauhaus,diedaywalker,LS,ig,story,done,2024-11-29,nichts,,1.0,,,,,,,
November,Bauhaus,janna.ferdi,LS,ig,story inkl. rem.,done,2024-11-29,reminder,2024-12-04,300.0,10000.0,30.0,150.0,,,,
December,Vonmählen,sabrinaroeder,LS,ig,story inkl. rem.,done,2024-12-04,reminder,2024-12-06,360.0,10000.0,36.0,,,,,Handyhüllen
December,Bauhaus,tina_mom_91,LS,ig,story,done,2024-12-05,nichts,,250.0,9000.0,28.0,,,,,
December,Bauhaus,lykke.linda,LS,ig,story,done,2024-12-05,nichts,,200.0,5000.0,40.0,,,,,
December,Bauhaus,blondbynana,LS,ig,story,done,2024-12-05,nichts,,700.0,30000.0,23.0,,,,,
December,Stryve,deinetanzlehrerin,JT,ig,story inkl. rem.,done,2024-12-06,reminder,2024-12-07,,20000.0,,,,,,
December,Stryve,plotterkrams,LS,ig,story inkl. rem.,done,2024-12-06,reminder,2024-12-08,680.0,20000.0,34.0,,,,,
December,Stryve,der_flory,JT,ig,story,done,2025-12-06,nichts,,300.0,10000.0,30.0,,,,,
December,Stryve,leila.kocht,JT,ig,story,done,2025-12-06,nichts,,100.0,4000.0,25.0,,,,,
December,Vonmählen,mrs.linchenn,JT,ig,story,done,2024-12-08,nichts,,250.0,,,,,,,Allroundo GaN
December,Vonmählen,deinetanzlehrerin,JT,ig,story inkl. rem.,done,2024-12-08,reminder,2024-12-12,,,,,,,,Allroundo GaN
December,Vonmählen,der_flory,JT,ig,story inkl. rem.,done,2024-12-09,reminder,2024-12-12,,,,,,,,Allroundo GaN & Air Beats Go weiß
December,Störtebekker,sabrinaroeder,LS,ig,story inkl. rem.,done,2024-12-10,reminder,2024-12-13,360.0,10000.0,36.0,,,,,
December,Vonmählen,tschossl,LS,ig,story inkl. rem.,done,2024-12-11,reminder,2024-12-14,750.0,28000.0,27.0,,,,,Handyhüllen & Airpods Case
